id,product_name,brand,model,category,gender,release_date,release_year,retail_price_usd,main_color,colorway,avg_resale_price_usd,resale_premium_pct,is_collab,collab_partner
1,Air Jordan 1 Retro High OG Chicago,Jordan,Air Jordan 1,Basketball,Men,2015-10-31,2015,160,Red,Varsity Red/Black/Sail,240,50,0,
2,Air Jordan 1 Retro High OG Bred,Jordan,Air Jordan 1,Basketball,Men,2016-09-03,2016,160,Black,Black/Varsity Red/White,80,-50,0,
3,Air Jordan 1 Retro High OG Royal,Jordan,Air Jordan 1,Basketball,Men,2017-04-01,2017,160,Blue,Game Royal/Black/White,168,5,0,
4,Air Jordan 1 Retro High OG Shadow,Jordan,Air Jordan 1,Basketball,Men,2018-04-14,2018,160,Grey,Medium Grey/Black/White,240,50,0,
5,Air Jordan 1 Retro High OG Court Purple,Jordan,Air Jordan 1,Basketball,Men,2018-09-22,2018,160,Purple,Court Purple/Sail/Black,320,100,0,
6,Air Jordan 1 Retro High OG UNC,Jordan,Air Jordan 1,Basketball,Men,2015-10-10,2015,160,Blue,University Blue/White/Black,240,50,0,
7,Air Jordan 3 Retro White Cement,Jordan,Air Jordan 3,Basketball,Men,2018-02-17,2018,200,White,White/Fire Red/Cement Grey,300,50,0,
8,Air Jordan 3 Retro Black Cement,Jordan,Air Jordan 3,Basketball,Men,2018-02-17,2018,200,Black,Black/Fire Red/Cement Grey,100,-50,0,
9,Air Jordan 3 Retro True Blue,Jordan,Air Jordan 3,Basketball,Men,2016-11-25,2016,200,Blue,White/Fire Red/True Blue,200,0,0,
10,Air Jordan 3 Retro UNC,Jordan,Air Jordan 3,Basketball,Men,2020-03-07,2020,200,Blue,Valor Blue/Tech Grey/White,240,20,0,
11,Air Jordan 4 Retro Bred,Jordan,Air Jordan 4,Basketball,Men,2019-05-04,2019,200,Black,Black/Fire Red/Cement Grey,300,50,0,
12,Air Jordan 4 Retro White Oreo,Jordan,Air Jordan 4,Basketball,Men,2021-07-03,2021,200,White,White/Tech Grey/Black,190,-5,0,
13,Air Jordan 4 Retro Fire Red,Jordan,Air Jordan 4,Basketball,Men,2020-11-28,2020,200,Red,White/Fire Red/Black,100,-50,0,
14,Air Jordan 4 Retro Lightning,Jordan,Air Jordan 4,Basketball,Men,2021-08-28,2021,220,Yellow,Tour Yellow/White/Dark Blue Grey,440,100,0,
15,Air Jordan 4 Retro Midnight Navy,Jordan,Air Jordan 4,Basketball,Men,2022-10-29,2022,210,Blue,Midnight Navy/White/Light Smoke Grey,315,50,0,
16,Air Jordan 11 Retro Concord,Jordan,Air Jordan 11,Basketball,Men,2018-12-08,2018,220,White,White/Black/Dark Concord,330,50,0,
17,Air Jordan 11 Retro Bred,Jordan,Air Jordan 11,Basketball,Men,2019-12-14,2019,220,Black,Black/White/Varsity Red,220,0,0,
18,Air Jordan 11 Retro Space Jam,Jordan,Air Jordan 11,Basketball,Men,2016-12-10,2016,220,Black,Black/Dark Concord/White,110,-50,0,
19,Air Jordan 1 Retro Low Travis Scott Mocha,Jordan,Air Jordan 1,Basketball,Men,2019-07-19,2019,150,Brown,Dark Mocha/Black/Sail,750,400,1,Travis Scott
20,Air Jordan 4 Retro Off-White Sail,Jordan,Air Jordan 4,Basketball,Women,2020-07-25,2020,200,Cream,Sail/White/Muslin,1000,400,1,Off-White
21,Nike Dunk Low Panda,Nike,Dunk Low,Skate,Men,2021-03-10,2021,100,Black,White/Black/White,95,-5,0,
22,Nike Dunk Low USC,Nike,Dunk Low,Skate,Men,2022-09-15,2022,110,Red,Gym Red/White/Amarillo,121,10,0,
23,Nike Dunk Low Kentucky,Nike,Dunk Low,Skate,Men,2020-03-14,2020,100,Blue,Varsity Royal/White,150,50,0,
24,Nike Dunk Low Syracuse,Nike,Dunk Low,Skate,Men,2020-03-14,2020,100,Orange,Orange Blaze/White,70,-30,0,
25,Nike Dunk Low UNC,Nike,Dunk Low,Skate,Men,2021-06-24,2021,100,Blue,University Blue/White,300,200,0,
26,Nike Dunk High Michigan,Nike,Dunk High,Skate,Men,2020-09-23,2020,120,Yellow,Varsity Maize/Midnight Navy,60,-50,0,
27,Nike Dunk High Syracuse,Nike,Dunk High,Skate,Men,2021-03-10,2021,120,Orange,Orange Blaze/White,120,0,0,
28,Nike Dunk High Panda,Nike,Dunk High,Skate,Women,2021-07-01,2021,120,Black,Black/White/Black,144,20,0,
29,Nike Dunk Low Off-White Pine Green,Nike,Dunk Low,Skate,Men,2019-12-20,2019,170,Green,Pine Green/White,850,400,1,Off-White
